alignment_id,module_id,course_code,module_code,learning_outcome_number,alignment_source_exact,source_file,confidence,notes
VGSSY_OMG401_MODULE_017_LO_15,VGSSY_OMG401_MODULE_017,OMG401,0019,15,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_16,VGSSY_OMG401_MODULE_017,OMG401,0019,16,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_17,VGSSY_OMG401_MODULE_017,OMG401,0019,17,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_18,VGSSY_OMG401_MODULE_017,OMG401,0019,18,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_19,VGSSY_OMG401_MODULE_017,OMG401,0019,19,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_20,VGSSY_OMG401_MODULE_017,OMG401,0019,20,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_25,VGSSY_OMG401_MODULE_017,OMG401,0019,25,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_26,VGSSY_OMG401_MODULE_017,OMG401,0019,26,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_MODULE_017_LO_27,VGSSY_OMG401_MODULE_017,OMG401,0019,27,"14–20, 25–27",Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG402_MODULE_001_LO_01,VGSSY_OMG402_MODULE_001,OMG402,0001,1,1,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_002_LO_03,VGSSY_OMG402_MODULE_002,OMG402,0003,3,3,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_003_LO_08,VGSSY_OMG402_MODULE_003,OMG402,0006,8,8,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_004_LO_08,VGSSY_OMG402_MODULE_004,OMG402,0007,8,8,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_005_LO_11,VGSSY_OMG402_MODULE_005,OMG402,0009,11,11,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_006_LO_12,VGSSY_OMG402_MODULE_006,OMG402,0010,12,12,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_007_LO_15,VGSSY_OMG402_MODULE_007,OMG402,0013,15,"15,16",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_007_LO_16,VGSSY_OMG402_MODULE_007,OMG402,0013,16,"15,16",p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_008_LO_17,VGSSY_OMG402_MODULE_008,OMG402,0014,17,17,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
VGSSY_OMG402_MODULE_009_LO_19,VGSSY_OMG402_MODULE_009,OMG402,0016,19,19–29,p_21_3REV kp Specifik omvaÂ°rdnad vid folksjukdomar pediatrik sexuell- och reproduktiv haÂ¨lsa _ 30 hp _ OMG402 _ KomplettKurs grundnivaÂ°.docx,high,
