outcome_id,program_uid,education_plan_uid,course_code,course_name_sv,outcome_order,outcome_category_if_stated,text_exact,verb_or_action,source_file,confidence,notes
VGSSY_MVG201_LO_20,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,20,Värderingsförmåga och förhållningssätt,relatera upplevda kliniska händelser till teoretiska begrepp,relatera,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_21,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,21,Värderingsförmåga och förhållningssätt,reflektera kring etiskt och personcentrerat förhållningssätt utifrån upplevda kliniska händelser,reflektera,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_MVG201_LO_22,VGSSY,VGSSY,MVG201,Introduktion till omvårdnad som arbetsområde och vetenskap samt fysiologi och anatomi del I,22,Värderingsförmåga och förhållningssätt,reflektera kring empatisk förmåga samt självkännedom i relation till upplevda kliniska händelser,reflektera,Kurs1_sskgrund_MVG201.pdf,high,
VGSSY_OMG401_LO_01,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,1,Kunskap och förståelse,diskutera författningar relevanta för sjuksköterskans arbetsområde,diskutera,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_02,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,2,Kunskap och förståelse,"identifiera behov av samt redogöra för grundläggande omvårdnad med utgångspunkt i omvårdnadsprocessen, evidensbaserade åtgärder och relevanta författningar",identifiera,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_03,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,3,Kunskap och förståelse,sammanfatta erfarenheter av kommunikation och patientundervisning samt relatera dessa till teoretisk kunskap och olika pedagogiska traditioner,sammanfatta,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_04,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,4,Kunskap och förståelse,"identifiera behov av samt redogöra för grundläggande omvårdnad med utgångspunkt i omvårdnadsprocessen, personcentrerad vård samt hälsofrämjande arbete 2026-03-18 11:39 OMG401 https://edu.hig.se/docs/sv/syllabus/course/OMG401?valid-from=2026-01-19 1/6",identifiera,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_05,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,5,Kunskap och förståelse,"redogöra för sjuksköterskans profession med utgångspunkt i omvårdnadsprocessen, omvårdnadsteorier, god och säker vård, teamsamverkan samt sjuksköterskans ledarskap i vårdnära situationer",redogöra,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_06,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,6,Kunskap och förståelse,identifiera och diskutera etiskt problematiska situationer på ett allsidigt och reflekterande sätt samt avväga och prioritera mellan de värden som står på spel,identifiera,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_07,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,7,Kunskap och förståelse,"beskriva anatomisk uppbyggnad av samt redogöra för fysiologiska funktioner avseende respirationssystemet, matspjälkningssystemet, njurar, urinvägar och det endokrina systemet",beskriva,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_08,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,8,Kunskap och förståelse,beskriva anatomisk uppbyggnad av samt redogöra för fysiologiska funktioner avseende reproduktionssystemet,beskriva,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_09,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,9,Kunskap och förståelse,redogöra för och diskutera uppbyggnad av och samspel inom och mellan kroppens olika organsystem samt förklara centrala fysiologiska processer kopplat till hälsa och ohälsa,redogöra,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_10,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,10,Kunskap och förståelse,förklara en omvårdnadsteoris och/eller -modells relation till omvårdnadens bärande begrepp samt omvårdnadsteoriers/-modellers relevans i klinisk verksamhet,förklara,Kurs2_sskgrund_OMG401.pdf,high,
VGSSY_OMG401_LO_11,VGSSY,VGSSY,OMG401,Omvårdnad vid vanligt förekommande sjukdomstillstånd samt fysiologi och anatomi del II,11,Kunskap och förståelse,förklara och använda grundläggande vetenskapliga och statistiska begrepp,förklara,Kurs2_sskgrund_OMG401.pdf,high,
