course_family_id,course_uid,course_version,is_current,version_status,replaces_course_uid,superseded_by_course_uid,source_file,source_file_hash_if_available,program,education_level,course_code,course_name_sv,course_name_en,credits_hp,main_field,progression,cycle,semester_or_year_if_stated,syllabus_valid_from,decision_date,revision_date,language,department_or_faculty,status,notes
OMG402,OMG402_v01,1,yes,baseline_initial_import,none,none,user_prompt_revision_OMG402_2026-08-31.txt,f8692b0f3842dee423d1d4042d61036726bb643256fdc4d57a796279a4b06d8c,Sjuksköterskeprogrammet,Grundnivå,OMG402,"Specifik omvårdnad vid folksjukdomar, pediatrik, sexuell- och reproduktiv hälsa","Specific nursing care in relation to public health, pediatrics, sexual and reproductive health",30.0,Omvårdnad,G1F,first,missing,Hösttermin 2026 (2026-08-31),<datum>,missing,sv/en,Akademin för hälsa och arbetsliv,draft_revision_from_user_prompt,Reviderad version ersätter tidigare OMG402-information enligt användarens instruktion. Utkast med beslutsfattare/datum saknade. extraction_method=user_prompt_cached; extraction_confidence=high; version_note=latest_OMG402_revision_used_as_initial_baseline_v01; older_uploaded_OMG402_pdf_ignored_initial_duplicate
OMG403,OMG403_v01,1,yes,baseline_initial_import,none,none,Kurs4_sskgrund_OMG403.pdf,456ce27c7ba35737b2480d7f2230864a3f95c6549b311cf5961115656579b3e2,Sjuksköterskeprogrammet,Grundnivå,OMG403,"Specifik omvårdnad vid psykisk ohälsa, akuta situationer, av kvinnor och barn samt sjukdomar inom medicin, kirurgi, infektion och geriatrik","Specific nursing care in relation to mental illness, acute care, women and children and medical, surgical, infectious and geriatric diseases",30.0,Omvårdnad,G2F,first,missing,2026-01-19,2025-10-16,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=pdf_text_extraction_cached; extraction_confidence=high
OMG551,OMG551_v01,1,yes,baseline_initial_import,none,none,Kurs5_sskgrund_OMG551.pdf,6763b8556c725d47f794270de06abf2af7bbf05cd0c79be6423c7e55ddee4cde,Sjuksköterskeprogrammet,Grundnivå,OMG551,Omvårdnad vid komplexa vårdbehov I samt introduktion till självständigt arbete i omvårdnad,Nursing in case of complex care needs I and introduction to independent project in nursing science,30.0,Omvårdnad,G2F,first,missing,2026-08-31,2025-03-13,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=pdf_text_extraction_cached; extraction_confidence=high
OMG552,OMG552_v01,1,yes,baseline_initial_import,none,none,user_prompt_missing_OMG552.txt,c74512d28f10edeead7b3d585ee424abc73fd05a1c36e2c0b2c0395905a87959,Sjuksköterskeprogrammet,Grundnivå,OMG552,Omvårdnad vid komplexa vårdbehov II,missing,15.0,Omvårdnad,G2F,first,missing,missing,missing,missing,sv/en,Akademin för hälsa och arbetsliv,missing,Kursplan saknas enligt användarens uppgift: OMG552 finns inte än. extraction_method=missing_cached; extraction_confidence=missing; courseplan_missing_placeholder_in_current_for_program_completeness
OMG805,OMG805_v01,1,yes,baseline_initial_import,none,none,Kurs6_sskgrund_OMG805.pdf,6f13a1f40e94775026c064de591f37d02119c95b4edd57b50aacfac4279d56c1,Sjuksköterskeprogrammet,Grundnivå,OMG805,Självständigt arbete (examensarbete) i omvårdnad,Independent project (degree thesis) in nursing science,15.0,Omvårdnad,G2E,first,missing,2027-01-18,2025-11-06,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=pdf_text_extraction_cached; extraction_confidence=high
OMA070,OMA070_v01,1,yes,baseline_initial_import,none,none,user_prompt_OMA070.txt,6b0225a9ec84e1970778007dc7aff4e05f99d209d650205c08e8c052615569d1,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,Nursing science - Scientific method and theory on advanced level in Anaesthetic Care,7.5,Omvårdnad,A1N,advanced,missing,2025-01-20,2023-10-23,missing,sv/en,Akademin för hälsa och arbetsliv,from_user_prompt,extraction_method=user_prompt_cached; extraction_confidence=high
OMA071,OMA071_v01,1,yes,baseline_initial_import,none,none,Kurs1_Anestesi_OMA071.pdf,5862b1d3076ad2aefb38e89b19ba7e1c50229cdcc1224b4d1fc37b4032b84f5a,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,Advanced Specialist Nursing in Anaesthetics I,22.5,Omvårdnad,A1N,advanced,missing,2025-01-20,2023-12-14,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA406,OMA406_v01,1,yes,baseline_initial_import,none,none,user_prompt_OMA406.txt,22c968410adbc7c8b37b46b551f800583bdb4e2eae5401b8600a69b977d90de7,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,Advanced Specialist Nursing in Anaesthetics II,15.0,Omvårdnad,A1F,advanced,missing,2025-09-01,2023-12-14,missing,sv/en,Akademin för hälsa och arbetsliv,from_user_prompt,extraction_method=user_prompt_cached; extraction_confidence=high
OMA717,OMA717_v01,1,yes,baseline_initial_import,none,none,Kurs4_Anestesi_OMA717.pdf,64c18ed98cd945b8cad7ae9244703d4143fe7d1f7087237523256cb747e6d771,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA717,Examensarbete inom anestesisjuksköterskans kunskapsområde,Thesis in Nursing Anaesthetics on advanced level,15.0,Omvårdnad,A1E,advanced,missing,2025-01-20,2023-10-23,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
MVA309,MVA309_v01,1,yes,baseline_initial_import,none,none,Kurs2_Distrikt_MVA309.pdf,513826363bfcaf18fd143358390b8c0d0c462282db1defcea2c6254aa8b8cfc3,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,MVA309,Farmakologi och sjukdomslära - förskrivningsrätt,Pharmacology and pathophysiology related to the extended role of the district nurse,15.0,Medicinsk vetenskap,A1F,advanced,missing,2024-08-01,2023-08-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA040,OMA040_v01,1,yes,baseline_initial_import,none,none,Kurs3_Distrikt_OMA040.pdf,9f8d87239e93ea6a4b19df7dc6a515453be8a84ce7c222670740c3eb8b6fc270,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA040,Omvårdnad - Vetenskaplig metod och teori avancerad nivå,Nursing Science - Scientific method and theory on advanced level,7.5,Omvårdnad,A1N,advanced,missing,2024-09-02,2023-10-17,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA041,OMA041_v01,1,yes,baseline_initial_import,none,none,Kurs1_Distrikt_OMA041.pdf,62b6bfeae5d4840728ed1b607d7e1648df4534ccc7edce0795b45f9dadcf4308,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA041,"Folksjukdomar, omvårdnad och folkhälsoarbete inom distriktssköterskans ansvarsområde","Public health diseases, nursing science and public health care within the responsibility of the district nurse",15.0,Omvårdnad,A1N,advanced,missing,2024-09-02,2023-08-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA042,OMA042_v01,1,yes,baseline_initial_import,none,none,Kurs5_Distrikt_OMA042.pdf,e3f26a5f07660d6cf02a10744548c0330a607ab636363dec67a22a770de6745a,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA042,Omvårdnad och folkhälsoarbete samt ledning och utveckling inom distriktssköterskans ansvarsområde,Nursing and public health work as well as management and development within the district nurse's area of responsibility,7.5,Omvårdnad,A1F,advanced,missing,2024-09-02,2023-08-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
OMA043,OMA043_v01,1,yes,baseline_initial_import,none,none,Kurs4_Distrikt_OMA043.pdf,63bc3224a3cf7916cbb0258f3815a5662be38206276c1a1dde362ca576cf4b28,Specialistsjuksköterskeprogrammet - inriktning distriktssköterska,Avancerad nivå,OMA043,"Distriktssköterskans hälsofrämjande, preventiva och vårdande arbete med barn och ungdomar",Nursing science in public health and primary health care among children and youth,15.0,Omvårdnad,A1F,advanced,missing,2024-09-02,2023-08-28,missing,sv/en,Akademin för hälsa och arbetsliv,available,extraction_method=ocr_swe_70dpi_cached; extraction_confidence=medium
