content_id,lineage_uid,lineage_confidence,course_family_id,course_uid,course_version,is_current,program,education_level,course_code,course_name_sv,content_order,text_exact,content_area_candidate,explicit_terms,source_file,confidence,notes
OMA071_v01_CONTENT_016,OMA071_CONTENT_016,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,16,+ mänskliga rättigheter relaterat till FN:s allmänna förklaring,mänskliga rättigheter,mänskliga rättigheter,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_017,OMA071_CONTENT_017,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,17,+ samverka och samarbeta i vårdteamet,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_018,OMA071_CONTENT_018,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,18,+ fältstudie inom anestesisjukvård,missing,missing,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA071_v01_CONTENT_019,OMA071_CONTENT_019,baseline,OMA071,OMA071_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA071,Avancerad omvårdnad med inriktning mot anestesisjukvård I,19,+ verksamhetsförlagd utbildning inom anestesivård,VFU/klinisk utbildning,verksamhetsförlagd utbildning,Kurs1_Anestesi_OMA071.pdf,medium,extraction_method=ocr_swe_70dpi_cached
OMA070_v01_CONTENT_001,OMA070_CONTENT_001,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,1,vetenskapsteoretiska perspektiv och forskningsansatser,missing,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_CONTENT_002,OMA070_CONTENT_002,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,2,kvalitativa- och kvantitativa forskningsdesigner,missing,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_CONTENT_003,OMA070_CONTENT_003,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,3,kvalitativa- och kvantitativa datainsamlings- och dataanalysmetoder,missing,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_CONTENT_004,OMA070_CONTENT_004,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,4,forsknings- och forskaretik,forskaretik,forskaretik,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_CONTENT_005,OMA070_CONTENT_005,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,5,systematisk sökning av vetenskaplig litteratur,missing,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA070_v01_CONTENT_006,OMA070_CONTENT_006,baseline,OMA070,OMA070_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA070,Omvårdnad - Vetenskaplig metod och teori avancerad nivå - inriktning anestesisjukvård,6,analys och värdering av vetenskaplig litteratur och forskningsresultat,missing,missing,user_prompt_OMA070.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_001,OMA406_CONTENT_001,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,1,information och undervisning,undervisning/vårdpedagogik,undervisning,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
OMA406_v01_CONTENT_002,OMA406_CONTENT_002,baseline,OMA406,OMA406_v01,1,yes,Specialistsjuksköterskeprogrammet - inriktning anestesisjukvård,Avancerad nivå,OMA406,Avancerad omvårdnad med inriktning mot anestesisjukvård II,2,obstetrisk anestesisjukvård,missing,missing,user_prompt_OMA406.txt,high,extraction_method=user_prompt_cached
